 smile id
139 NC1=CC(Cl)=C(Cl)C=C1NC1=NC(N[C@H]2CCCC[C@@H]2OCC2=CC=CC=C2)=NC(=N1)N1CCC(CCCC(O)=O)CC1 L25021
140 OCC1CN(C2=NC(NCC3=C(Cl)C=CC=C3OC3=CC=CC=C3)=NC(=N2)N2CCC(CCCC(O)=O)CC2)C2=CC=CC=C2O1 L724
141 CN(CC1=CC=C(F)C=C1)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N(C)CC1=CC=CC2=C1C=CC=C2 L53632
142 CC(C)CCN(CCC(C)C)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N(C)CC1=CC=CC2=C1C=CC=C2 L46336
143 CN(CCC(O)C1=CC=CC=C1)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N(C)CC1=CC=C(Cl)C=C1 L53463
144 OCC1CN(C2=NC(NC3=CC=C(OCC4=CC=CC=C4)C=C3)=NC(NC3(CCSCC3)C(O)=O)=N2)C2=CC=CC=C2O1 L37565
145 OCC1CN(C2=NC(NCC3=CC=C(OC4=CC=CC=C4)C=C3)=NC(NC3(CCSCC3)C(O)=O)=N2)C2=CC=CC=C2O1 L37455
146 C[C@@H](CNC1=NC(NC2=CC=CC=N2=O)=NC(=N1)N(C)CC1=CC=CC2=C1C=CC=C2)C(O)=O L77248
147 CN(CC1=CC=CC(=C1)C(F)(F)F)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N1CCC(CC1)C1=NOC2=C1C=C(F)C=C2 L53190
148 CCN(CC1=CC(C)=CC=C1)C1=NC(N[C@H]([C@@H](N)C2=CC=CC=C2)C2=CC=CC=C2)=NC(NC2(CCSCC2)C(O)=O)=N1 L53181
149 CN(C)CCN(C)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37529
150 CC1=CC=C(CNC2=NC(NC3(CCSCC3)C(O)=O)=NC(=N2)N2CC(CO)OC3=CC=CC=C23)O1 L37487
151 CN(CCC1=CC=CC=C1)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37518
152 C[C@@H](CNC1=NC(NC2=CC=CC=N2=O)=NC(=N1)N(C)CC1=CC=CC(C)=C1)C(O)=O L77316
153 CC1=CC=CC=C1N1CCN(CC1)C1=NC(=NC(NC2(CCSCC2)C(O)=O)=N1)N1CCC(CC1)C1=NOC2=C1C=C(F)C=C2 L43014
154 CN(CC1=CC=C(C)C=C1)C1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37512
155 C[C@@H](CNC1=NC(=NC(=N1)N(C)CC1=CC(Cl)=CC=C1)N1CC(CO)OC2=CC=CC=C12)C(O)=O L74370
156 COC1=CC=C(C=C1)[C@@H](C)NC1=NC(NC2(CCSCC2)C(O)=O)=NC(=N1)N1CC(CO)OC2=CC=CC=C12 L37628
157 OCC1CN(C2=NC(NCC3=CC=CS3)=NC(NC3(CCSCC3)C(O)=O)=N2)C2=CC=CC=C2O1 L37587
158 NCC1=CC=C(CNC2=NC(NCCC3=CNC4=C3C=C(Br)C=C4)=NC(=N2)N2CCC(CCCC(O)=O)CC2)C=C1 L31083
159 COC1=C(CC(C)N(C)C2=NC(NC3(CCSCC3)C(O)=O)=NC(=N2)N2CC(CO)OC3=CC=CC=C23)C=CC=C1 L37522
160 CN(CCC(O)C1=CC=CC=C1)C1=NC(NC2(CCSCC2)C(O)=O)=NC(N[C@H]([C@@H](N)C2=CC=CC=C2)C2=CC=CC=C2)=N1 L72855
